Start,StartLocation,StIvesNorthbound,BostonNorthbound,LouthNorthbound,HessleNorthbound,MaltonNorthbound,BarnardCastleNorthbound,BramptonNorthbound,MoffatNorthbound,Dunfermline,InnerleithenSouthbound,EskdalemuirSouthbound,BramptonSouthbound,BarnardCastleSouthbound,MaltonSouthbound,HessleSouthbound,LouthSouthbound,BostonSouthbound,StIvesSouthbound,GreatEastonSouthbound,DebdenFinish
2022-08-07T05:00:00Z,Debden,2022-08-07T08:11:00Z,2022-08-07T11:05:00Z,2022-08-07T12:57:00Z,2022-08-07T15:15:00Z,2022-08-07T18:23:00Z,2022-08-07T23:49:00Z,2022-08-08T04:12:00Z,2022-08-08T07:38:00Z,2022-08-08T12:26:00Z,2022-08-08T16:48:00Z,2022-08-08T19:06:00Z,2022-08-08T21:37:00Z,2022-08-09T02:35:00Z,2022-08-09T08:23:00Z,2022-08-09T12:16:00Z,2022-08-09T15:31:00Z,2022-08-09T18:01:00Z,2022-08-09T22:15:00Z,2022-08-10T02:38:00Z,2022-08-10T05:59:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:04:00Z,2022-08-07T13:02:00Z,2022-08-07T15:28:00Z,2022-08-07T19:00:00Z,2022-08-08T01:24:00Z,2022-08-08T08:34:00Z,2022-08-08T13:02:00Z,2022-08-08T18:33:00Z,2022-08-08T23:25:00Z,2022-08-09T06:46:00Z,2022-08-09T10:01:00Z,2022-08-09T16:49:00Z,2022-08-09T23:38:00Z,2022-08-10T08:42:00Z,2022-08-10T12:20:00Z,2022-08-10T15:17:00Z,2022-08-10T19:06:00Z,2022-08-10T22:35:00Z,2022-08-11T01:34:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:47:00Z,2022-08-07T12:27:00Z,2022-08-07T15:05:00Z,2022-08-07T17:59:00Z,2022-08-07T21:40:00Z,2022-08-08T04:42:00Z,2022-08-08T13:26:00Z,2022-08-08T17:13:00Z,2022-08-08T23:09:00Z,2022-08-09T05:11:00Z,2022-08-09T08:42:00Z,2022-08-09T11:55:00Z,2022-08-09T20:38:00Z,2022-08-10T02:54:00Z,2022-08-10T07:43:00Z,2022-08-10T11:41:00Z,2022-08-10T17:03:00Z,2022-08-10T21:35:00Z,2022-08-11T01:27:00Z,2022-08-11T04:38:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:21:00Z,2022-08-07T13:50:00Z,2022-08-07T16:30:00Z,2022-08-07T20:07:00Z,2022-08-08T01:53:00Z,2022-08-08T10:11:00Z,2022-08-08T14:16:00Z,,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:13:00Z,2022-08-07T11:03:00Z,2022-08-07T13:20:05Z,2022-08-07T15:50:00Z,2022-08-07T19:02:00Z,2022-08-08T01:06:00Z,2022-08-08T10:10:00Z,2022-08-08T14:22:00Z,2022-08-08T19:58:00Z,2022-08-09T08:55:00Z,2022-08-09T11:43:00Z,2022-08-09T14:24:00Z,2022-08-09T19:40:00Z,2022-08-10T03:04:00Z,2022-08-10T10:09:00Z,2022-08-10T14:22:00Z,2022-08-10T17:26:00Z,2022-08-10T22:41:00Z,2022-08-11T03:54:00Z,2022-08-11T08:05:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:23:00Z,2022-08-07T14:09:00Z,2022-08-07T17:15:00Z,2022-08-07T20:52:00Z,2022-08-08T05:43:00Z,2022-08-08T13:23:00Z,2022-08-08T17:04:00Z,2022-08-08T23:13:00Z,2022-08-09T08:43:00Z,2022-08-09T12:03:00Z,2022-08-09T15:24:00Z,2022-08-09T20:48:00Z,2022-08-10T06:10:00Z,2022-08-10T10:22:00Z,2022-08-10T14:19:00Z,2022-08-10T17:15:00Z,2022-08-10T21:13:00Z,2022-08-11T01:25:00Z,2022-08-11T04:38:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:13:00Z,2022-08-07T11:22:00Z,2022-08-07T14:14:00Z,2022-08-07T17:16:00Z,2022-08-07T21:19:00Z,2022-08-08T11:24:00Z,2022-08-08T18:14:00Z,2022-08-08T23:08:00Z,2022-08-09T11:29:00Z,2022-08-09T17:03:00Z,2022-08-09T20:12:00Z,2022-08-10T00:15:00Z,2022-08-10T14:04:21Z,2022-08-10T21:55:06Z,2022-08-11T03:23:53Z,2022-08-11T08:19:30Z,2022-08-11T12:56:00Z,2022-08-11T18:29:00Z,2022-08-11T22:33:00Z,2022-08-12T01:53:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:03:00Z,2022-08-07T13:00:00Z,2022-08-07T15:28:00Z,2022-08-07T18:43:00Z,2022-08-08T00:03:00Z,2022-08-08T04:11:00Z,2022-08-08T07:27:00Z,2022-08-08T12:23:00Z,2022-08-08T18:24:00Z,2022-08-09T00:50:00Z,2022-08-09T03:54:00Z,2022-08-09T09:25:00Z,2022-08-09T15:23:00Z,2022-08-09T19:42:00Z,2022-08-09T23:29:00Z,2022-08-10T02:52:00Z,2022-08-10T07:17:00Z,2022-08-10T11:04:00Z,2022-08-10T12:45:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:37:00Z,2022-08-07T14:33:00Z,2022-08-07T17:11:00Z,2022-08-07T20:45:00Z,2022-08-08T03:50:00Z,2022-08-08T14:30:00Z,2022-08-08T18:01:00Z,2022-08-09T00:51:00Z,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:36:00Z,2022-08-07T14:34:00Z,2022-08-07T17:12:00Z,2022-08-07T20:45:00Z,2022-08-08T03:52:00Z,2022-08-08T14:32:00Z,2022-08-08T18:02:00Z,2022-08-09T00:51:00Z,,,,,,,,,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:24:00Z,2022-08-07T13:43:00Z,2022-08-07T16:12:00Z,2022-08-07T19:21:00Z,2022-08-08T01:38:00Z,2022-08-08T11:01:00Z,2022-08-08T14:49:00Z,2022-08-08T19:54:00Z,2022-08-08T23:54:00Z,2022-08-09T07:38:00Z,2022-08-09T10:09:00Z,2022-08-09T14:34:00Z,2022-08-09T20:06:00Z,2022-08-09T23:31:00Z,2022-08-10T07:56:00Z,2022-08-10T10:26:00Z,2022-08-10T14:19:00Z,2022-08-10T17:38:00Z,2022-08-10T19:41:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:05:00Z,2022-08-07T13:12:00Z,2022-08-07T15:56:00Z,2022-08-07T19:32:00Z,2022-08-08T06:49:00Z,2022-08-08T15:57:00Z,,,,,2022-08-08T15:57:00Z,2022-08-09T04:25:10Z,2022-08-10T18:23:53Z,2022-08-11T05:36:58Z,2022-08-11T16:17:23Z,2022-08-12T02:39:00Z,,,
2022-08-07T05:00:00Z,Debden,2022-08-07T08:13:00Z,2022-08-07T11:03:00Z,2022-08-07T13:01:00Z,2022-08-07T15:18:00Z,2022-08-07T19:01:00Z,2022-08-08T00:26:00Z,2022-08-08T10:11:00Z,2022-08-08T14:06:00Z,2022-08-08T19:57:00Z,2022-08-09T08:55:00Z,2022-08-09T11:43:00Z,2022-08-09T14:24:00Z,2022-08-09T19:41:00Z,2022-08-10T03:03:00Z,2022-08-10T10:09:00Z,2022-08-10T14:20:00Z,2022-08-10T17:26:00Z,2022-08-10T22:39:00Z,2022-08-11T03:52:00Z,2022-08-11T08:05:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:10:00Z,2022-08-07T11:04:00Z,2022-08-07T13:01:00Z,2022-08-07T15:35:00Z,2022-08-07T18:41:00Z,2022-08-08T00:04:00Z,2022-08-08T05:00:00Z,2022-08-08T11:09:00Z,2022-08-08T16:30:00Z,2022-08-08T21:01:00Z,2022-08-08T23:45:00Z,2022-08-09T03:12:00Z,2022-08-09T11:04:00Z,2022-08-09T16:37:00Z,2022-08-09T20:34:00Z,2022-08-10T00:06:00Z,2022-08-10T02:51:00Z,2022-08-10T08:04:00Z,2022-08-10T12:53:00Z,2022-08-10T16:01:00Z
2022-08-07T05:00:00Z,Debden,2022-08-07T08:12:00Z,2022-08-07T11:05:00Z,2022-08-07T13:14:00Z,2022-08-07T16:01:00Z,2022-08-07T19:00:00Z,2022-08-08T00:22:00Z,2022-08-08T09:54:00Z,2022-08-08T14:11:00Z,2022-08-08T20:06:00Z,2022-08-09T07:42:00Z,2022-08-09T10:34:00Z,2022-08-09T13:28:00Z,2022-08-09T18:20:00Z,2022-08-10T00:35:00Z,2022-08-10T09:14:00Z,2022-08-10T12:43:00Z,2022-08-10T15:40:00Z,2022-08-10T20:05:00Z,2022-08-10T23:55:00Z,2022-08-11T02:25:00Z
