Start,Start Location,StIvesNorthbound,BostonNorthbound,LouthNorthbound,HessleNorthbound,MaltonNorthbound,BarnardCastle Northbound,BramptonNorthbound,MoffatNorthbound,Dunfermline,InnerleithenSouthbound,EskdalemuirSouthbound,BramptonSouthbound,BarnardCastleSouthbound,MaltonSouthbound,HessleSouthbound,LouthSouthbound,BostonSouthbound,St IvesSouthbound,GreatEastonSouthbound,DebdenFinish
07/08/2022 05:00,Debden,07/08/2022 08:09,07/08/2022 11:02,NULL,07/08/2022 15:17,07/08/2022 18:16,07/08/2022 23:43,08/08/2022 07:59,08/08/2022 11:35,08/08/2022 16:53,08/08/2022 21:15,09/08/2022 06:11,09/08/2022 08:59,09/08/2022 13:46,09/08/2022 19:12,09/08/2022 22:49,10/08/2022 07:13,10/08/2022 09:49,10/08/2022 13:58,10/08/2022 17:51,10/08/2022 20:23
07/08/2022 05:00,Debden,07/08/2022 08:09,07/08/2022 11:04,NULL,07/08/2022 15:14,07/08/2022 18:21,08/08/2022 05:12,08/08/2022 09:55,08/08/2022 13:39,08/08/2022 19:02,08/08/2022 23:28,09/08/2022 06:48,09/08/2022 09:50,09/08/2022 15:20,09/08/2022 20:51,10/08/2022 00:53,10/08/2022 07:44,10/08/2022 10:14,10/08/2022 14:38,10/08/2022 18:21,10/08/2022 20:36
07/08/2022 05:00,Debden,07/08/2022 08:10,07/08/2022 11:04,07/08/2022 13:01,07/08/2022 15:35,07/08/2022 18:41,08/08/2022 00:04,08/08/2022 05:00,08/08/2022 11:09,08/08/2022 16:30,08/08/2022 21:01,08/08/2022 23:45,09/08/2022 03:12,09/08/2022 11:04,09/08/2022 16:37,09/08/2022 20:34,10/08/2022 00:06,10/08/2022 02:51,10/08/2022 08:04,10/08/2022 12:53,10/08/2022 16:01
07/08/2022 05:00,Debden,07/08/2022 08:10,07/08/2022 11:04,07/08/2022 12:52,07/08/2022 14:49,07/08/2022 17:28,07/08/2022 21:58,08/08/2022 01:27,08/08/2022 05:09,08/08/2022 10:24,08/08/2022 14:28,08/08/2022 17:00,08/08/2022 19:30,09/08/2022 02:02,09/08/2022 07:05,09/08/2022 10:20,09/08/2022 12:53,09/08/2022 15:26,09/08/2022 19:05,09/08/2022 22:17,10/08/2022 00:17
07/08/2022 05:00,Debden,07/08/2022 08:10,07/08/2022 11:04,07/08/2022 13:02,07/08/2022 15:28,07/08/2022 19:00,08/08/2022 01:24,08/08/2022 08:34,08/08/2022 13:02,08/08/2022 18:33,08/08/2022 23:25,09/08/2022 06:46,09/08/2022 10:01,09/08/2022 16:49,09/08/2022 23:38,10/08/2022 08:42,10/08/2022 12:20,10/08/2022 15:17,10/08/2022 19:06,10/08/2022 22:35,11/08/2022 01:34
07/08/2022 05:00,Debden,07/08/2022 08:10,07/08/2022 11:05,07/08/2022 13:12,07/08/2022 15:56,07/08/2022 19:32,08/08/2022 06:49,08/08/2022 15:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/08/2022 02:39,NULL,NULL,NULL
07/08/2022 05:00,Debden,07/08/2022 08:10,07/08/2022 11:04,NULL,07/08/2022 15:14,07/08/2022 18:20,08/08/2022 00:04,08/08/2022 04:13,08/08/2022 07:55,08/08/2022 13:25,08/08/2022 18:00,08/08/2022 20:37,09/08/2022 00:16,09/08/2022 07:13,09/08/2022 14:15,09/08/2022 18:41,09/08/2022 22:49,10/08/2022 02:52,10/08/2022 08:45,10/08/2022 13:19,10/08/2022 16:06
07/08/2022 05:00,Debden,07/08/2022 08:10,07/08/2022 11:03,07/08/2022 13:00,07/08/2022 15:28,07/08/2022 18:43,08/08/2022 00:03,08/08/2022 04:11,08/08/2022 07:27,08/08/2022 12:23,08/08/2022 18:24,09/08/2022 00:50,09/08/2022 03:54,09/08/2022 09:25,09/08/2022 15:23,09/08/2022 19:42,09/08/2022 23:29,10/08/2022 02:52,10/08/2022 07:17,10/08/2022 11:04,10/08/2022 12:45
NULL,Debden,07/08/2022 08:10,NULL,07/08/2022 13:17,07/08/2022 16:09,07/08/2022 19:22,08/08/2022 01:39,08/08/2022 11:00,08/08/2022 14:50,NULL,09/08/2022 01:08,09/08/2022 07:13,09/08/2022 10:09,09/08/2022 15:15,09/08/2022 20:48,10/08/2022 01:10,10/08/2022 07:44,10/08/2022 10:36,10/08/2022 14:53,10/08/2022 18:47,10/08/2022 21:46
07/08/2022 05:00,Debden,07/08/2022 08:10,07/08/2022 11:03,07/08/2022 12:57,07/08/2022 15:18,07/08/2022 19:00,08/08/2022 00:25,08/08/2022 10:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
