ID,START,Distance,DormitoryBeds
C00,Writtle,0,160
C01,Northstowe,90,0
C02,Spalding,162,0
S1,Horncastle,200,0
C03,Louth,241,350
C04,Hessle,303,350
C05,Malton,364,350
S2,Rainton,410,0
C06,Richmond,470,250
S3,Mickleton,508,50
S4,Alston,546,80
S5,Alston,550,0
C07,Brampton,580,350
S6,Newcastleton,616,60
S7,Newcastleton,617,0
C08,Hawick,654,150
S8,St Mary's Loch,700,0
C09,Moffat,724,300
S9,Broughton,760,50
C10,Edinburgh,800,250
C11,Innerleithen,842,300
S10,Hopehouse,870,0
C12,Eskdalemuir,892,65
C13,Brampton,942,350
C14,Richmond,1052,250
S11,Rainton,1099,0
C15,Malton,1144,350
C16,Hessle,1211,350
C17,Louth,1269,350
S12,Horncastle,1309,0
C18,Spalding,1349,150
C19,Northstowe,1440,300
C20,Henham,1481,50
C21,Writtle,1530,160
