Weeks Before,200km,400km,600km,1000km,300km
1,80,100,0,150,120
2,120,150,200,200,180
3,80,200,300,400,120
4,140,200,0,0,210
5,100,120,200,600,150
6,100,0,400,200,150
7,100,300,200,200,150
8,120,90,300,600,180
9,90,300,200,200,135
10,100,150,100,0,150
11,70,200,400,400,105
12,90,120,300,400,135
13,70,200,0,200,105
14,60,100,200,300,90
15,60,200,200,100,90
16,70,120,120,0,105
17,50,150,200,200,75
18,60,0,200,150,90
19,50,100,120,100,75
20,,90,90,200,
21,,80,100,150,
22,,80,100,100,
23,,70,120,150,
24,,,100,120,
25,,,90,90,
26,,,80,120,
27,,,70,100,
28,,,90,90,
,,,80,80,
,,,70,70,
,,,0,0,
,,,80,80,
,,,80,80,
,,,60,60,
,,,60,60,
